tab(t0) ^ t0.ac = '212' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.pn = '1111111' -> t0.cc = '01', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
tab(t0) ^ t0.pn = '2222222' -> t0.cc = '01', rowSize=8, xSupp=3, supp=3, covre=0.38, conf=1.0
tab(t0) ^ t0.nm = 'Mike' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.nm = 'Rick' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.nm = 'Joe' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.nm = 'Jim' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.nm = 'Sean' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.str = 'Tree Ave' -> t0.cc = '01', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
tab(t0) ^ t0.str = '5th Ave' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.str = 'Elm Str' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.str = '3rd Str' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.ct = 'NYC' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.ct = 'UN' -> t0.cc = '01', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.zip = '07974' -> t0.cc = '01', rowSize=8, xSupp=3, supp=3, covre=0.38, conf=1.0
tab(t0) ^ t0.zip = '01202' -> t0.cc = '01', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
tab(t0) ^ t0.pn = '3333333' -> t0.cc = '44', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.pn = '4444444' -> t0.cc = '44', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
tab(t0) ^ t0.nm = 'Ben' -> t0.cc = '44', rowSize=8, xSupp=1, supp=1, covre=0.12, conf=1.0
tab(t0) ^ t0.nm = 'Ian' -> t0.cc = '44', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
tab(t0) ^ t0.str = 'High St' -> t0.cc = '44', rowSize=8, xSupp=2, supp=2, covre=0.25, conf=1.0
